table,variable,type,n_present,n_missing,coverage,n_distinct,levels,example,description,documented
persons,person_id,string,882,0,1.0,882,,Q495676,"Primary key. The Wikidata QID where one exists (Q57553), otherwise a slug derived from the person's name (TN-hedi-nouira). Slugs get a numeric suffix when two distinct people share a name. Stable across runs.",True
persons,wikidata_qid,string,574,308,0.651,574,,Q495676,"The QID, or empty when the person has no Wikidata item. Its absence is itself informative: it tracks how well documented someone is.",True
persons,name,string,882,0,1.0,847,,Tahar Ben Ammar,"Preferred display name (the longest variant observed, which is usually the most complete).",True
persons,name_variants,string,882,0,1.0,882,,tahar ben ammar|الطاهر بن عمار,"Every normalised spelling encountered across sources. Use this, not name, when matching against an external list.",True
persons,name_ar,string,562,320,0.637,560,,الطاهر بن عمار,Arabic and English labels from Wikidata.,True
persons,name_en,string,559,323,0.634,556,,Tahar Ben Ammar,Arabic and English labels from Wikidata.,True
persons,gender,string,573,309,0.65,2,female | male,,"Controlled vocabulary: male, female, or empty. Wikidata returns this label in the request language (French first), so the raw values are masculin/féminin; they are mapped here. Sparse for the pre-1987 period.",True
persons,birth_date_precision,string,536,346,0.608,1,day,,"day, month or year — what the source actually gave. 1972-01-01 with precision year means ""born in 1972"", not ""born on 1 January"".",True
persons,birth_date,date,536,346,0.608,481,,1889-11-25,Birth. birth_year is provided because year-precision is often all that is available.,True
persons,birth_year,numeric,536,346,0.608,111,,1889.0,Birth. birth_year is provided because year-precision is often all that is available.,True
persons,death_date,date,168,714,0.19,168,,1985-05-10,"Death. Empty for the living and for the undocumented — do not read an empty cell as ""alive"".",True
persons,death_year,numeric,168,714,0.19,75,,1985.0,"Death. Empty for the living and for the undocumented — do not read an empty cell as ""alive"".",True
persons,birth_place,string,479,403,0.543,120,,Tunis,"Settlement of birth, as given by the source.",True
persons,birth_region,string,460,422,0.522,103,,Tunis,Raw Wikidata P131 label for the birthplace. Kept verbatim; use birth_governorate for the harmonised coding.,True
persons,birth_place_qid,string,473,409,0.536,116,,Q3572,"QID of the birth settlement, for joining to external geodata. This is the key the settlement map was verified against: the governorate comes from the containment chain of this item, not from matching the birthplace string, which collides across governorates (El Guettar, El Ksar, Ezzahra and El Mida each name more than one Tunisian place).",True
persons,citizenship,string,557,325,0.632,9,Côte d'Ivoire | Empire ottoman | France | Inde | Maroc | Syrie | Tunisie | beylicat de Tunis | protectorat français de Tunisie,,Wikidata P27 label.,True
persons,education,string,308,574,0.349,221,,université de Paris|collège Sadiki|lycée Carnot de Tunis|الم,"Institutions attended, merged from Wikidata P69, Wikipedia biography categories (Élève de …, Étudiant de …) and Leaders. Institution names are not reconciled to identifiers — ""Sorbonne"" and ""Université de Paris"" may both appear, and note that École nationale d'administration and École nationale d'administration (Tunisie) are genuinely different institutions and must not be merged. Normalise deliberately before using as a homophily key.",True
persons,degrees,string,22,860,0.025,17,,licence,"Highest-level credential terms (doctorat, maîtrise, diplôme d'ingénieur).",True
persons,academic_fields,string,7,875,0.008,7,archéologie|historiographie|épigraphie|patrimoine culturel|Afrique du Nord durant l'Antiquité classique | droit public|aspects politiques de l'Islam | féminisme|libertés publiques|urbanisme | pneumologie | psychopathologie cognitive | sciences humaines et sociales | urologie,,Wikidata P101.,True
persons,occupations,string,561,321,0.636,147,,personnalité politique,Wikidata P106 labels — an unstructured vocabulary.,True
persons,profession_domains,string,41,841,0.046,17,,law,"A controlled vocabulary derived from Leaders biographies: law, engineering, medicine, academia, economics, finance, diplomacy, security, media, labour, business, civil_service. Prefer this over occupations for coding technocrat/party/security backgrounds.",True
persons,parties,string,323,559,0.366,76,,Destour,"Party affiliation from Wikidata P102. Not time-varying: Wikidata records that someone belonged to a party, not when. Treat as a career-level attribute.",True
persons,memberships,string,2,880,0.002,2,"Académie tunisienne des sciences, des lettres et des arts | Comité des droits de l'Homme des Nations unies",,"Learned societies and non-party bodies (Académie tunisienne des sciences, UN committees), from Wikipedia's Membre de … categories. Kept separate from parties: pooling them made an academy read as the eighth-largest party in Tunisia.",True
persons,employers,string,10,872,0.011,6,université Paris-Panthéon-Assas|université de Rouen|université de Tunis | université Zitouna | université de Caen | université de Californie à Berkeley|université de Tunis | université de Tunis | École nationale d'administration (Tunisie),,"Institutions the person worked at, from Professeur à … / Enseignant à … categories. Mostly universities.",True
persons,career_flags,string,258,624,0.293,34,,political_prisoner|lawyer,"Controlled markers from Wikipedia biography categories: political_prisoner, exile, trade_unionist, academic, military, diplomat, lawyer, physician, engineer, economist, journalist, writer. A pre-ministerial-career signal that is denser than occupations for the pre-1987 cohort.",True
persons,political_prisoner,boolean,468,414,0.531,2,False | True,,"Extracted separately because experience of repression is a standard covariate in elite-recruitment work and appears in no other source in this pipeline. True/False where a biography was harvested, empty where none was. Read an empty cell as ""unknown"", never as ""no"".",True
persons,wikipedia_bio_url,string,468,414,0.531,468,,https://ar.wikipedia.org/wiki/الطاهر_بن_عمار,The biography article the category-derived fields came from.,True
persons,party_qids,string,316,566,0.358,55,,http://www.wikidata.org/entity/Q587187,"Party affiliation from Wikidata P102. Not time-varying: Wikidata records that someone belonged to a party, not when. Treat as a career-level attribute.",True
persons,religion,string,50,832,0.057,4,islam | islam|sunnisme | judaïsme | sunnisme,,"Wikidata P140, P166.",True
persons,awards,string,57,825,0.065,43,,ordre des Séraphins|ordre de la République|ordre de l'Indépe,"Wikidata P140, P166.",True
persons,wikipedia_fr,string,529,353,0.6,529,,https://fr.wikipedia.org/wiki/Tahar_Ben_Ammar,Article URLs.,True
persons,wikipedia_ar,string,548,334,0.621,548,,https://ar.wikipedia.org/wiki/%D8%A7%D9%84%D8%B7%D8%A7%D9%87,Article URLs.,True
persons,wikipedia_en,string,257,625,0.291,257,,https://en.wikipedia.org/wiki/Tahar_Ben_Ammar,Article URLs.,True
persons,leaders_url,string,24,858,0.027,24,,https://www.leaders.com.tn/article/33329-le-parcours-de-male,The Leaders biography the person-level fields were extracted from.,True
persons,sources,string,882,0,1.0,11,govtn_portal|leaders|wikidata|wikipedia | govtn_portal|spine|wikidata|wikipedia | govtn_portal|wikidata|wikipedia | govtn_portal|wikipedia | leaders|wikidata | leaders|wikidata|wikipedia | leaders|wikipedia | spine|wikidata|wikipedia | wikidata | wikidata|wikipedia | wikipedia,,"Which harvesters contributed to this row: spine, wikidata, wikipedia, govtn_portal, leaders. A row seen by only one source is weaker evidence than one seen by three.",True
persons,birth_governorate,string,456,426,0.517,23,,Tunis,"Settlement resolved to its current governorate via config/places.yml. Boundaries changed over the period (Sidi Bouzid 1973, Ben Arous 1983, Manouba 2000); coding to current boundaries is what keeps a seventy-year series comparable. Empty for a birth outside Tunisia and for the few records that name only the country — check birth_abroad before treating an empty value as missing data. VALIDATION.md lists settlements genuinely absent from the map.",True
persons,birth_region_type,string,456,426,0.517,7,centre_east | centre_west | greater_tunis | northeast | northwest | southeast | southwest,,"greater_tunis, northeast, northwest, centre_east, centre_west, southeast, southwest.",True
persons,birth_coastal,boolean,456,426,0.517,2,False | True,,The conventional coastal/interior development cleavage. Note Gabès and Médenine are coastal by geography while belonging to the disadvantaged south — use birth_region_type when that matters.,True
persons,birth_sahel,boolean,456,426,0.517,2,False | True,,"The narrow historical Sahel: Sousse, Monastir, Mahdia only. Deliberately not the same as birth_coastal, which also includes Greater Tunis, the northeast and Sfax. Conflating the two attributes Greater Tunis's weight to the Sahel and is the most common way this variable is got wrong.",True
persons,birth_country,string,479,403,0.543,12,Algeria | Caucasus | Circassia | France | Georgia | Greece | India | Italy | Moldova | Russian Empire | Syria | Tunisia,,"Country or polity of birth. Tunisia whenever a governorate resolved. For births elsewhere, the polity the source names at the time of birth, not a modern successor state: Circassia, Caucasus, Georgia, Moldova and Russian Empire appear for the Husainid-era mamluk administrators. Not ISO country codes; do not join on them without recoding.",True
persons,birth_abroad,boolean,479,403,0.543,2,False | True,,"True where the birthplace is outside Tunisia. Distinguishes a genuine finding — foreign-born ministers, concentrated in the beylical era and the late protectorate — from an unmapped settlement. An empty birth_governorate with birth_abroad = True is complete data.",True
persons,n_appointments,integer,882,0,1.0,21,,5,Number of offices held (rows in appointments.csv).,True
persons,n_cabinets,integer,882,0,1.0,12,,2,Distinct cabinets served in.,True
persons,n_portfolios,integer,882,0,1.0,8,,1,Distinct harmonised portfolios held.,True
persons,first_appointment,date,862,20,0.977,159,,1954-01-01,Entry into government.,True
persons,last_appointment_end,date,830,52,0.941,105,,1956-04-11,End of the last recorded office; censored at the snapshot for incumbents.,True
persons,total_tenure_days,numeric,830,52,0.941,275,,831.0,"Days in government, computed as the union of the person's appointment intervals, so concurrent posts count once. Treat as an upper bound: most rows inherit their dates from the cabinet (see appointments.date_basis), and a cabinet's span is longer than any individual's tenure in it. Summing per-appointment tenure instead produced careers of 180+ years.",True
persons,total_appointment_days,numeric,882,0,1.0,508,,2569.0,"The naive sum over appointments, retained only for transparency. It double-counts concurrent posts and reshuffle re-listings. Do not use it as a tenure measure.",True
persons,tenure_days_dated,numeric,558,324,0.633,339,,613.0,"The same union, restricted to appointments whose dates describe the person rather than the cabinet (date_basis in statement, row, spine). Much sparser, and the only one of the three suitable for duration or survival analysis.",True
persons,max_rank_level,integer,882,0,1.0,6,,0,"Highest rank attained, as the minimum level value (0 = head of government, 6 = secretary-general). Lower is higher.",True
persons,ever_sovereign_portfolio,boolean,882,0,1.0,2,False | True,,"Ever held interior, foreign affairs, justice, defence or finance.",True
persons,ever_head_of_government,boolean,882,0,1.0,2,False | True,,Ever headed a government.,True
persons,portfolios_held,string,882,0,1.0,253,,head_of_government,"The set of portfolios held, sorted.",True
persons,eras_served,string,862,20,0.977,34,,protectorate|protectorate_end,Regime eras spanned. More than one marks a survivor across a regime change — the key variable for elite-continuity questions.,True
persons,age_at_first_appointment,numeric,525,357,0.595,267,,64.1,Years at entry. Empty when birth date is unknown.,True
persons,career_span_years,numeric,830,52,0.941,151,,2.3,First appointment to last appointment end.,True
appointments,appointment_id,string,3136,0,1.0,3136,,A00001,"Primary key, A00001. Assigned per build — not stable across builds; join on the substantive keys instead.",True
appointments,record_id,string,3136,0,1.0,3136,,w00991,Internal id of the source record this row came from; the join key into data/interim/reconciliation_audit.json.,True
appointments,cabinet_id,string,3085,51,0.984,56,,Gouvernement Mechichi,"→ cabinets.cabinet_id. A spell id (TN-04) for spine rows, a Wikipedia article title for harvested rows.",True
appointments,spell_id,string,3026,110,0.965,23,,TN-18,→ spells.id. The government spell containing this appointment.,True
appointments,cabinet_article,string,2326,810,0.742,58,,Gouvernement Mechichi,"Source Wikipedia article, where applicable.",True
appointments,raw_title,string,3136,0,1.0,996,,Ministre des Affaires culturelles,The verbatim title as printed by the source. Always check this before trusting portfolio on an unusual case.,True
appointments,person_name,string,3136,0,1.0,1335,,Walid Zidi,"Name as printed by the source, before reconciliation.",True
appointments,person_wikilink,string,2313,823,0.738,1246,,Walid Zidi,Wikipedia article target for the officeholder.,True
appointments,portfolio,string,3136,0,1.0,37,,culture,"Harmonised portfolio (→ portfolios.canonical), 37 in use. other means the taxonomy could not classify raw_title (2.6% of rows); those titles are listed in data/interim/unmatched_titles.csv.",True
appointments,rank,string,3136,0,1.0,6,delegate_minister | head_of_government | minister | minister_of_state | secretary_of_state | state_secretary_general,,"Cabinet rank: head_of_government, deputy_head_of_government, minister_of_state, delegate_minister, secretary_of_state, minister, state_secretary_general. Parsed separately from the portfolio, because a secretary of state for finance is not the finance minister.",True
appointments,is_interim,boolean,3136,0,1.0,1,False,,Title marked par intérim / بالنيابة.,True
appointments,start_date,date,3084,52,0.983,332,,2020-01-01,Tenure bounds. end_date empty = still in office at the snapshot.,True
appointments,end_date,date,2743,393,0.875,283,,2021-01-01,Tenure bounds. end_date empty = still in office at the snapshot.,True
appointments,date_precision,string,3136,0,1.0,2,day | unknown,,"day, month, year, or unknown — the precision of start_date as given by the source. Filter on this before computing durations.",True
appointments,date_basis,string,3136,0,1.0,5,cabinet | row | spine | statement | unknown,,"Where this row's dates came from: statement (a Wikidata P580/P582 qualifier — the person's own tenure), row (a date cell in the Wikipedia roster table), spine (the curated government spine), cabinet (inherited from the cabinet, because the source gave no individual dates), unknown. About three quarters of rows are cabinet. Filter to statement/row/spine before computing any duration.",True
appointments,source,string,3136,0,1.0,5,govtn_portal | spine | wikidata | wikipedia:ar | wikipedia:fr,,"spine, wikidata, wikipedia:fr, wikipedia:ar, govtn_portal, leaders. govtn_portal is the government's own listing — authoritative on membership, but a dated snapshot with no appointment dates, so those rows carry date_basis = cabinet.",True
appointments,source_ref,string,3136,0,1.0,846,,https://fr.wikipedia.org/wiki/Gouvernement_Mechichi,"The specific URL, Wikidata statement or config file the row came from.",True
appointments,confidence,string,3136,0,1.0,3,high | low | medium,,"high / medium / low. low marks a Wikidata statement with no tenure qualifiers, i.e. an office known to have been held but not when.",True
appointments,table_caption,string,845,2291,0.269,21,,Postes remaniés le,"The roster table's caption, where the date came from (Composition le 27 septembre 1989, Postes remaniés le 3 mars 1990). Kept so a date can be traced to the exact reshuffle it describes.",True
appointments,party_raw,string,1117,2019,0.356,50,,Indépendant,"Party as printed in the Wikipedia roster table, verbatim and unharmonised (RCD, Ennahdha, Indépendant). Populated only for Wikipedia rows. Unlike persons.parties, which is career-level, this is attached to a specific appointment and so is the better source for time-varying party affiliation — at the cost of being an uncontrolled vocabulary. Normalise before use.",True
appointments,replaces,string,362,2774,0.115,264,,Abdelwahab Abdallah,"Wikidata P1365: the person this appointment's holder succeeded in the post. Populated only for Wikidata rows. Independent of edges_succession.csv, which is derived from observed date ordering — where both exist they are a useful cross-check on each other.",True
appointments,replaced_by,string,347,2789,0.111,258,,Ahmed Ounaies,Wikidata P1366: who succeeded this holder. Same caveats as replaces.,True
appointments,person_id,string,3136,0,1.0,882,,Q100261455,"Primary key. The Wikidata QID where one exists (Q57553), otherwise a slug derived from the person's name (TN-hedi-nouira). Slugs get a numeric suffix when two distinct people share a name. Stable across runs.",True
appointments,end_date_unreliable,boolean,3136,0,1.0,2,False | True,,"The source's end date preceded the start date — a mid-cabinet reshuffle start measured against a year-precision cabinet end. end_date is set to empty in those rows, so they read as open-ended; do not mistake them for incumbents. Cross-check with is_incumbent.",True
appointments,tenure_days,numeric,3084,52,0.983,553,,366.0,"Days in office; open tenures censored at the snapshot. Read together with date_basis — where that is cabinet, this is the cabinet's span, not the person's tenure.",True
appointments,is_incumbent,boolean,3136,0,1.0,2,False | True,,end_date is empty.,True
appointments,portfolio_label,string,3059,77,0.975,36,,Cultural affairs,English label.,True
appointments,portfolio_power_rank,string,3059,77,0.975,4,economic | service | social | sovereign,,"sovereign, economic, social, service. sovereign is the classic ministères de souveraineté.",True
appointments,rank_level,integer,3136,0,1.0,6,,3,"Numeric rank, 0 (highest) to 6.",True
appointments,era,string,3084,52,0.983,9,ben_ali | beylical | bourguiba | monarchy | protectorate | protectorate_end | saied_exception | second_republic | transition,,"Regime era at the start of the tenure (→ spells.era). Boundaries are half-open, so a government formed on a transition date is coded to the incoming regime.",True
appointments,president,string,3056,80,0.974,7,Béji Caïd Essebsi | Fouad Mebazaa | Habib Bourguiba | Kaïs Saïed | Lamine Bey | Moncef Marzouki | Zine El Abidine Ben Ali,,Head of state at the start of the tenure.,True
appointments,head_of_government,string,3026,110,0.965,22,,Hichem Mechichi,Head of the government this appointment sits in.,True
appointments,start_year,numeric,3084,52,0.983,88,,2020.0,Convenience column for grouping.,True
appointments,appointment_seq,integer,3136,0,1.0,23,,1,"1-based position in this person's career sequence, ordered by start date.",True
appointments,is_first_appointment,boolean,3136,0,1.0,2,False | True,,appointment_seq == 1.,True
appointments,jort_citation,string,163,2973,0.052,71,,"JORT 2021, N°093, p. 2 (fr)","Citation of the Journal Officiel decree recording this appointment, e.g. JORT 2021, N°093, p. 2 (fr). Look it up at [jort.tn](https://jort.tn). Present on 161 appointments.",True
appointments,jort_date,date,163,2973,0.052,67,,2021-10-11,"Normally the date the decree was PUBLISHED in the gazette — not the date of appointment, unless jort_date_kind is effective. The decree follows the appointment by a few days (median 8 in this data), so this is an upper bound on the start date, and an authoritative one. Do not substitute it for start_date without deciding which quantity you want.",True
appointments,jort_url,string,163,2973,0.052,67,,https://jort.tn/view/journal-officiel/fr/2021/093,"The gazette issue on jort.tn. The full document requires a login there; the citation, date and summary are public.",True
appointments,jort_kind,string,163,2973,0.052,1,nomination,,nomination or cessation — whether the decree appoints or ends the appointment.,True
appointments,jort_office,string,159,2977,0.051,58,,Cheffe d,"The office as named in the decree (ministre de l'intérieur), used to prefer a decree that names the right post over one that merely lands near the right date.",True
appointments,jort_date_kind,string,163,2973,0.052,1,published,,"published or effective — which date jort_date carries. effective is the decree's own stated legal date and is preferred where present, but the search snippet rarely contains it (see docs/SOURCES.md), so nearly all rows are published.",True
appointments,jort_date_delta,numeric,163,2973,0.052,54,,283.0,"Days between start_date and jort_date. A large value means the harvested date and the official record disagree, which is a finding worth inspecting, not an error that has been corrected away. Matching is capped at 365 days.",True
cabinets,cabinet_id,string,56,0,1.0,56,,Gouvernement Ben Ali,"→ cabinets.cabinet_id. A spell id (TN-04) for spine rows, a Wikipedia article title for harvested rows.",True
cabinets,n_members,integer,56,0,1.0,39,,20,Distinct people.,True
cabinets,n_appointments,integer,56,0,1.0,41,,31,Number of offices held (rows in appointments.csv).,True
cabinets,n_women,integer,56,0,1.0,14,,2,"Women in the cabinet. Depends on persons.gender coverage — read alongside gender coverage in VALIDATION.md, since an apparent absence of women before 1983 partly reflects missing gender data.",True
cabinets,n_sovereign_posts,integer,56,0,1.0,22,,10,Appointments to sovereign portfolios.,True
cabinets,start_date,date,56,0,1.0,41,,1987-01-01,Tenure bounds. end_date empty = still in office at the snapshot.,True
cabinets,end_date,date,51,5,0.911,44,,1987-01-01,Tenure bounds. end_date empty = still in office at the snapshot.,True
cabinets,spell_id,string,53,3,0.946,23,,TN-07,→ spells.id. The government spell containing this appointment.,True
cabinets,era,string,56,0,1.0,8,ben_ali | bourguiba | monarchy | protectorate | protectorate_end | saied_exception | second_republic | transition,,"Regime era at the start of the tenure (→ spells.era). Boundaries are half-open, so a government formed on a transition date is coded to the incoming regime.",True
cabinets,president,string,55,1,0.982,7,Béji Caïd Essebsi | Fouad Mebazaa | Habib Bourguiba | Kaïs Saïed | Lamine Bey | Moncef Marzouki | Zine El Abidine Ben Ali,,Head of state at the start of the tenure.,True
cabinets,share_women,numeric,56,0,1.0,31,,0.1,"Women in the cabinet. Depends on persons.gender coverage — read alongside gender coverage in VALIDATION.md, since an apparent absence of women before 1983 partly reflects missing gender data.",True
cabinets,head_of_government,string,53,3,0.946,22,,Zine El Abidine Ben Ali,Head of the government this appointment sits in.,True
cabinets,head_role,string,53,3,0.946,3,head_of_government | president_as_head | prime_minister,,"Who led it, and under what title (prime_minister, head_of_government, president_as_head).",True
cabinets,confidence,string,53,3,0.946,2,high | medium,,"high / medium / low. low marks a Wikidata statement with no tenure qualifiers, i.e. an office known to have been held but not when.",True
spells,id,string,23,0,1.0,23,,TN-00,"Primary key, TN-00 … TN-22.",True
spells,head,string,23,0,1.0,22,,Tahar Ben Ammar,Head of government and the title held.,True
spells,head_role,string,23,0,1.0,3,head_of_government | president_as_head | prime_minister,,"Who led it, and under what title (prime_minister, head_of_government, president_as_head).",True
spells,start,date,23,0,1.0,23,,1954-08-07,Spell bounds; end empty for the incumbent.,True
spells,end,date,22,1,0.957,22,,1956-04-11,Spell bounds; end empty for the incumbent.,True
spells,era,string,23,0,1.0,7,ben_ali | bourguiba | monarchy | protectorate_end | saied_exception | second_republic | transition,,"Regime era at the start of the tenure (→ spells.era). Boundaries are half-open, so a government formed on a transition date is coded to the incoming regime.",True
spells,pre_independence,boolean,1,22,0.043,1,True,,TN-00 only — excluded from the post-independence frame.,True
spells,note,string,13,10,0.565,13,,Negotiated and signed the independence protocol of 20 March ,Editorial note on coding decisions.,True
spells,wikipedia_fr,string,23,0,1.0,23,,Gouvernement Tahar Ben Ammar,Article URLs.,True
spells,confidence,string,23,0,1.0,2,high | medium,,"high / medium / low. low marks a Wikidata statement with no tenure qualifiers, i.e. an office known to have been held but not when.",True
spells,first_post_independence,boolean,1,22,0.043,1,True,,"TN-01, the first government of independent Tunisia.",True
spells,resolve_subcabinets,boolean,7,16,0.304,1,True,,The spell contains several numbered cabinets/reshuffles resolved at harvest time.,True
spells,spans_regime_change,boolean,1,22,0.043,1,True,,"The spell crosses a regime boundary (TN-10, Ghannouchi, spans 14 January 2011). Appointments inside it are split at the boundary when era is assigned.",True
spells,wikipedia_en,string,1,22,0.043,1,Zaafarani Cabinet,,Article URLs.,True
portfolios,canonical,string,36,0,1.0,36,,head_of_government,Primary key; the value used in appointments.portfolio.,True
portfolios,label_en,string,36,0,1.0,36,,Head of government,Display labels.,True
portfolios,label_fr,string,36,0,1.0,36,,Chef du gouvernement,Display labels.,True
portfolios,power_rank,string,36,0,1.0,4,economic | service | social | sovereign,,"sovereign, economic, social, service.",True
portfolios,created,string,6,30,0.167,5,1970s | 1983 | 1990s | 1991 | 2011,,"Approximate first appearance, for portfolios that did not exist in 1956 (environment, ICT, human rights). Right-censor portfolio time series accordingly.",True
governorates,governorate,string,24,0,1.0,24,,Tunis,"One of the 24 current governorates. All appear, including those supplying no minister.",True
governorates,region_type,string,24,0,1.0,7,centre_east | centre_west | greater_tunis | northeast | northwest | southeast | southwest,,"greater_tunis, northeast, northwest, centre_east, centre_west, southeast, southwest.",True
governorates,coastal,boolean,24,0,1.0,2,False | True,,The conventional coastal/interior development cleavage.,True
governorates,sahel,boolean,24,0,1.0,2,False | True,,"The narrow historical Sahel — Sousse, Monastir, Mahdia only. Not the same variable as coastal.",True
governorates,population,integer,24,0,1.0,24,,1075306,"2024 general census (INS), from config/places.yml.",True
eras,era,string,9,0,1.0,9,ben_ali | beylical | bourguiba | monarchy | protectorate | protectorate_end | saied_exception | second_republic | transition,,"Regime era at the start of the tenure (→ spells.era). Boundaries are half-open, so a government formed on a transition date is coded to the incoming regime.",True
eras,era_label,string,9,0,1.0,9,Ben Ali republic | Beylical / pre-protectorate | Bourguiba republic | End of the protectorate | French protectorate | Kingdom of Tunisia (independent monarchy) | Post-25 July 2021 presidential rule / 2022 constitution | Post-revolution transition | Second Republic (2014 constitution),,Human-readable name.,True
eras,era_start,date,9,0,1.0,9,,1600-01-01,Bounds. era_end is empty for the current period.,True
eras,era_end,date,8,1,0.889,8,,1881-05-12,Bounds. era_end is empty for the current period.,True
eras,interval,string,9,0,1.0,1,"[era_start, era_end)",,"Always [era_start, era_end). Stated in the data because the convention is load-bearing: eras are half-open, so a government formed on a transition date belongs to the incoming regime. Re-deriving era membership with an inclusive end date misplaces every such government — Hédi Baccouche, appointed 7 November 1987, would fall under Bourguiba rather than Ben Ali.",True
